F_ST h2 p N d power
0.06 0.5 0.001 1000 0.489774840137949 0.330604931920283
0.06 0.5 0.001 1032.82812594103 0.518590014582471 0.368448105525999
0.06 0.5 0.001 1066.73393773486 0.490213470653741 0.359713959749515
0.06 0.5 0.001 1101.75281378839 0.512373426036285 0.371231275947112
0.06 0.5 0.001 1137.92129391532 0.496447036995709 0.364043480136461
0.06 0.5 0.001 1175.27711746295 0.486479586919467 0.366522680089803
0.06 0.5 0.001 1213.85926269063 0.490786909109782 0.365101213170632
0.06 0.5 0.001 1253.70798744092 0.493000540756143 0.378627015213911
0.06 0.5 0.001 1294.8648711459 0.484682133263964 0.366522437379688
0.06 0.5 0.001 1337.3728582125 0.491603701868746 0.400396929708798
0.06 0.5 0.001 1381.27630283201 0.47834501437864 0.38740949696565
0.06 0.5 0.001 1426.62101526074 0.509550014300528 0.430877073229899
0.06 0.5 0.001 1473.45430961984 0.518974351568721 0.436658615274566
0.06 0.5 0.001 1521.82505326439 0.49201101779067 0.416408151098673
0.06 0.5 0.001 1571.78371777316 0.48180359426535 0.42551181316614
0.06 0.5 0.001 1623.38243161228 0.518084317669628 0.461489367759699
0.06 0.5 0.001 1676.6750345277 0.506252458830837 0.460939621468914
0.06 0.5 0.001 1731.71713372335 0.468900303505128 0.423328243521904
0.06 0.5 0.001 1788.56616188346 0.493739635614379 0.483129135595438
0.06 0.5 0.001 1847.28143709963 0.48246544870992 0.486921272721507
0.06 0.5 0.001 1907.92422476527 0.507796626227766 0.514449453532807
0.06 0.5 0.001 1970.5578015018 0.494869611324501 0.520208088998145
0.06 0.5 0.001 2035.24752118358 0.474372452359939 0.487587400432874
0.06 0.5 0.001 2102.06088313016 0.504436613374586 0.557425920966934
0.06 0.5 0.001 2171.06760253726 0.4965683756621 0.556569024107327
0.06 0.5 0.001 2242.33968321985 0.513567489540785 0.585903125553758
0.06 0.5 0.001 2315.95149274315 0.483679856191568 0.554777698605099
0.06 0.5 0.001 2391.97984002024 0.4932417771135 0.577403581429367
0.06 0.5 0.001 2470.50405545683 0.501313250190273 0.592343003951398
0.06 0.5 0.001 2551.60607372718 0.510017087054959 0.638375891631069
0.06 0.5 0.001 2635.37051926739 0.499978116549935 0.628205875874173
0.06 0.5 0.001 2721.88479457518 0.489693600215422 0.619863986506474
0.06 0.5 0.001 2811.23917140846 0.476842535495998 0.615159916916797
0.06 0.5 0.001 2903.52688497781 0.497141935073883 0.676742222811583
0.06 0.5 0.001 2998.84423123103 0.496047959681564 0.708520501208031
0.06 0.5 0.001 3097.29066733141 0.517133938061132 0.737095053500176
0.06 0.5 0.001 3198.96891543454 0.490324717149739 0.710471165974477
0.06 0.5 0.001 3303.98506987186 0.488346393128197 0.722492402103366
0.06 0.5 0.001 3412.44870785289 0.496386246246694 0.748526172750378
0.06 0.5 0.001 3524.47300380159 0.47625210900999 0.734065820936273
0.06 0.5 0.001 3640.17484744614 0.477175615481187 0.738885254928236
0.06 0.5 0.001 3759.67496578547 0.502921984852301 0.803080936831198
0.06 0.5 0.001 3883.0980490596 0.500790215864537 0.799133471550171
0.06 0.5 0.001 4010.5728808555 0.499444410705367 0.828989900701743
0.06 0.5 0.001 4142.2324724839 0.486102546180029 0.824528796399834
0.06 0.5 0.001 4278.21420176762 0.488090049235438 0.831576457117796
0.06 0.5 0.001 4418.65995638594 0.517735834023508 0.87993907604816
0.06 0.5 0.001 4563.71628192476 0.50595833725384 0.861521683859507
0.06 0.5 0.001 4713.53453478691 0.495125727290137 0.883994629726649
0.06 0.5 0.001 4868.27104012228 0.500315240248644 0.888271177452437
0.06 0.5 0.001 5028.08725494248 0.477205073267211 0.869193559398793
0.06 0.5 0.001 5193.14993659021 0.479141856212257 0.881872328747699
0.06 0.5 0.001 5363.63131673925 0.500023981469203 0.918275559305973
0.06 0.5 0.001 5539.7092811064 0.504405770907183 0.929928930885374
0.06 0.5 0.001 5721.56755506325 0.509937429119635 0.948314011479781
0.06 0.5 0.001 5909.39589534097 0.509327029045008 0.955810981033003
0.06 0.5 0.001 6103.39028802862 0.500366716581311 0.955222376529436
0.06 0.5 0.001 6303.75315307128 0.485025809570872 0.945956164573442
0.06 0.5 0.001 6510.69355548146 0.502586607290218 0.97509736040055
0.06 0.5 0.001 6724.42742348425 0.511379621612022 0.977918789289689
0.06 0.5 0.001 6945.1777738237 0.489232372864936 0.964327383266154
0.06 0.5 0.001 7173.17494446561 0.509208298892989 0.980202040176542
0.06 0.5 0.001 7408.65683493957 0.463549667896218 0.968834907596025
0.06 0.5 0.001 7651.86915457083 0.49368121812619 0.984731897788064
0.06 0.5 0.001 7903.06567886135 0.473833626139319 0.985753378171791
0.06 0.5 0.001 8162.50851428723 0.488070210724071 0.988073336040292
0.06 0.5 0.001 8430.46837178897 0.491231449044861 0.992569319283903
0.06 0.5 0.001 8707.22484923992 0.501165004267448 0.993171922563935
0.06 0.5 0.001 8993.06672318762 0.510807347749721 0.995894089954004
0.06 0.5 0.001 9288.2922501725 0.491695924740737 0.995268102680174
0.06 0.5 0.001 9593.20947793824 0.493124184228905 0.996154508630165
0.06 0.5 0.001 9908.13656685867 0.507835266912345 0.998066994452418
0.06 0.5 0.001 10233.4021219164 0.504384212669878 0.998281257140967
0.06 0.5 0.001 10569.3455355799 0.484720119204547 0.998582777608234
0.06 0.5 0.001 10916.3173419361 0.484736841835285 0.999089835995032
0.06 0.5 0.001 11274.6795824495 0.497270517258175 0.999547822236416
0.06 0.5 0.001 11644.8061837269 0.5014223201778 0.999640318799609
0.06 0.5 0.001 12027.0833476851 0.495185495800379 0.999720856974816
0.06 0.5 0.001 12421.9099545262 0.502435968214325 0.999873042839241
0.06 0.5 0.001 12829.6979789415 0.502991663426838 0.99990422039492
0.06 0.5 0.001 13250.8729199795 0.487251163402727 0.99989559164726
0.06 0.5 0.001 13685.8742450252 0.498403010222611 0.999966123689132
0.06 0.5 0.001 14135.155848354 0.486562907473926 0.999964642459136
0.06 0.5 0.001 14599.1865247398 0.495978016936584 0.999976002799971
0.06 0.5 0.001 15078.4504586105 0.494681764473543 0.999986425397224
0.06 0.5 0.001 15573.4477292614 0.491133787285406 0.999986818713168
0.06 0.5 0.001 16084.6948326536 0.512478067790265 0.99999590109496
0.06 0.5 0.001 16612.7252203429 0.484656382710111 0.99999678574137
0.06 0.5 0.001 17158.0898561001 0.50677327438 0.999998257664545
0.06 0.5 0.001 17721.3577908036 0.496132603023745 0.999999502847838
0.06 0.5 0.001 18303.1167562061 0.486028408287277 0.999999228295462
0.06 0.5 0.001 18903.9737781922 0.503405813669754 0.999999930788828
0.06 0.5 0.001 19524.5558101686 0.485933233191473 0.999999886909182
0.06 0.5 0.001 20165.5103872475 0.495326707139855 0.999999982607602
0.06 0.5 0.001 20827.5063019051 0.504017178048772 0.999999991205026
0.06 0.5 0.001 21511.2343018217 0.504410173496677 0.999999996339083
0.06 0.5 0.001 22217.4078106288 0.498702774917961 0.999999999151241
0.06 0.5 0.001 22946.7636723194 0.496330493415792 0.999999999652164
0.06 0.5 0.001 23700.0629200933 0.474527282925057 0.999999998111735
0.06 0.5 0.001 24478.0915704444 0.491081331257888 0.999999999828318
0.06 0.5 0.001 25281.661443315 0.485305245780249 0.999999999872243
0.06 0.5 0.001 26111.6110091746 0.476059545349419 0.999999999993692
0.06 0.5 0.001 26968.8062639069 0.50232069167257 0.999999999999001
0.06 0.5 0.001 27854.1416324177 0.474412209985562 0.999999999992719
0.06 0.5 0.001 28768.540901906 0.522907513335744 0.999999999999948
0.06 0.5 0.001 29712.9581857733 0.48279109951461 0.999999999999911
0.06 0.5 0.001 30688.3789191764 0.507038055818723 0.999999999999993
0.06 0.5 0.001 31695.8208872612 0.484467041352334 0.99999999999998
0.06 0.5 0.001 32736.3352871525 0.493105800899315 1
0.06 0.5 0.001 33811.0078248068 0.492191959691521 1
0.06 0.5 0.001 34920.9598478727 0.495699066597831 1
0.06 0.5 0.001 36067.3495157403 0.492737157007605 1
0.06 0.5 0.001 37251.3730080021 0.495224249019922 1
0.06 0.5 0.001 38474.2657725851 0.507491990243111 1
0.06 0.5 0.001 39737.3038148561 0.49976774969365 1
0.06 0.5 0.001 41041.8050290471 0.504584407634107 1
0.06 0.5 0.001 42389.1305733878 0.489189528709576 1
0.06 0.5 0.001 43780.6862903817 0.496447305967578 1
0.06 0.5 0.001 45217.924173707 0.515133213174963 1
0.06 0.5 0.001 46702.3438832733 0.499743430264649 1
0.06 0.5 0.001 48235.4943100147 0.495478943629982 1
0.06 0.5 0.001 49818.9751920517 0.501676162331365 1
0.06 0.5 0.001 51454.4387839092 0.493005502883997 1
0.06 0.5 0.001 53143.5915805324 0.496407966810924 1
0.06 0.5 0.001 54888.1960978968 0.513206220842564 1
0.06 0.5 0.001 56690.0727120743 0.491823323201565 1
0.06 0.5 0.001 58551.1015586724 0.48784341667285 1
0.06 0.5 0.001 60473.2244946265 0.475939103004613 1
0.06 0.5 0.001 62458.4471243962 0.486032157895939 1
0.06 0.5 0.001 64508.8408926769 0.482137296166872 1
0.06 0.5 0.001 66626.5452458115 0.503968819249435 1
0.06 0.5 0.001 68813.7698641567 0.494047584495845 1
0.06 0.5 0.001 71072.7969677341 0.489367716737091 1
0.06 0.5 0.001 73405.9836975721 0.500263412302194 1
0.06 0.5 0.001 75815.7645752212 0.501062189306271 1
0.06 0.5 0.001 78304.6540430118 0.499002995030161 1
0.06 0.5 0.001 80875.2490877046 0.480402122404826 1
0.06 0.5 0.001 83530.2319502679 0.508067483318228 1
0.06 0.5 0.001 86272.3729246145 0.517451823933327 1
0.06 0.5 0.001 89104.5332482152 0.497859953455087 1
0.06 0.5 0.001 92029.6680876041 0.473331049671554 1
0.06 0.5 0.001 95050.8296218951 0.512284266296326 1
0.06 0.5 0.001 98171.1702275218 0.485470890707048 1
0.06 0.5 0.001 101393.945767529 0.504061703852028 1
0.06 0.5 0.001 104722.518988844 0.514314070480472 1
0.06 0.5 0.001 108160.363031071 0.50889560489343 1
0.06 0.5 0.001 111711.065050482 0.496472731956298 1
0.06 0.5 0.001 115378.329962966 0.486832155819167 1
0.06 0.5 0.001 119165.984309856 0.499779778457599 1
0.06 0.5 0.001 123077.980250667 0.491330119285294 1
0.06 0.5 0.001 127118.399686903 0.480714681694522 1
0.06 0.5 0.001 131291.458521247 0.481878372617309 1
0.06 0.5 0.001 135601.511056563 0.496178451633666 1
0.06 0.5 0.001 140053.054539322 0.504411502077837 1
0.06 0.5 0.001 144650.733852165 0.498432768745657 1
0.06 0.5 0.001 149399.346360526 0.490346203725091 1
0.06 0.5 0.001 154303.846918356 0.487997508752795 1
0.06 0.5 0.001 159369.353038178 0.490623492284308 1
0.06 0.5 0.001 164601.150230855 0.49543430890008 1
0.06 0.5 0.001 170004.697520672 0.504110271901168 1
0.06 0.5 0.001 175585.633141447 0.498940709930872 1
0.06 0.5 0.001 181349.78041965 0.510111442100084 1
0.06 0.5 0.001 187303.153850643 0.518555390867622 1
0.06 0.5 0.001 193451.965374405 0.500752219388162 1
0.06 0.5 0.001 199802.630857255 0.497523434208907 1
0.06 0.5 0.001 206361.776786386 0.510870872291793 1
0.06 0.5 0.001 213136.247184144 0.495442324723991 1
0.06 0.5 0.001 220133.110749303 0.491330893242178 1
0.06 0.5 0.001 227359.668232772 0.505248968305615 1
0.06 0.5 0.001 234823.460055428 0.495241294526881 1
0.06 0.5 0.001 242532.274176036 0.496228924510448 1
0.06 0.5 0.001 250494.15421745 0.496125252470725 1
0.06 0.5 0.001 258717.407859592 0.498142170463614 1
0.06 0.5 0.001 267210.615507944 0.516551913840242 1
0.06 0.5 0.001 275982.639246618 0.46769459060814 1
0.06 0.5 0.001 285042.632085343 0.503029914379188 1
0.06 0.5 0.001 294400.047510003 0.478227337955822 1
0.06 0.5 0.001 304064.649346707 0.502621104894073 1
0.06 0.5 0.001 314046.521949675 0.49844105415738 1
0.06 0.5 0.001 324356.080723581 0.487127776469434 1
0.06 0.5 0.001 335004.082991314 0.511769697244358 1
0.06 0.5 0.001 346001.639218511 0.496594908934115 1
0.06 0.5 0.001 357360.224606579 0.484412506593401 1
0.06 0.5 0.001 369091.691066278 0.49148633424256 1
0.06 0.5 0.001 381208.279584389 0.489475094170359 1
0.06 0.5 0.001 393722.632996348 0.484759544410375 1
0.06 0.5 0.001 406647.809178186 0.482915274214783 1
0.06 0.5 0.001 419997.294671531 0.483576490315517 1
0.06 0.5 0.001 433785.018755898 0.508574654608422 1
0.06 0.5 0.001 448025.367982949 0.500154865708012 1
0.06 0.5 0.001 462733.201187869 0.492812410216213 1
0.06 0.5 0.001 477923.864993559 0.512843931438111 1
0.06 0.5 0.001 493613.209823792 0.507246300119863 1
0.06 0.5 0.001 509817.606442043 0.501891975226116 1
0.06 0.5 0.001 526553.963033276 0.50151635927585 1
0.06 0.5 0.001 543839.74284648 0.486329640961317 1
0.06 0.5 0.001 561692.982416382 0.501566880113709 1
0.06 0.5 0.001 580132.310383338 0.494193576234791 1
0.06 0.5 0.001 599176.966931061 0.483081942643516 1
0.06 0.5 0.001 618846.82386244 0.494155915960665 1
0.06 0.5 0.001 639162.405334401 0.481957839466877 1
0.06 0.5 0.001 660144.909273488 0.517517911483595 1
0.06 0.5 0.001 681816.229494448 0.488974588942499 1
0.06 0.5 0.001 704198.97854493 0.491692266374025 1
0.06 0.5 0.001 727316.511300145 0.49207647563592 1
0.06 0.5 0.001 751192.949332097 0.483347695022417 1
0.06 0.5 0.001 775853.206078784 0.491795388677186 1
0.06 0.5 0.001 801323.012839689 0.482348003298695 1
0.06 0.5 0.001 827628.945624635 0.487865205919117 1
0.06 0.5 0.001 854798.452884042 0.497334903375055 1
0.06 0.5 0.001 882859.884149515 0.491829448014332 1
0.06 0.5 0.001 911842.519614656 0.50070510750584 1
0.06 0.5 0.001 941776.600686952 0.489176799318431 1
0.06 0.5 0.001 972693.361542618 0.48824500298527 1
0.06 0.5 0.001 1004625.06171734 0.525411765284056 1
0.06 0.5 0.001 1037605.01976691 0.510598035071712 1
0.06 0.5 0.001 1071667.64803286 0.488421092405501 1
0.06 0.5 0.001 1106848.48854941 0.47933198529555 1
0.06 0.5 0.001 1143184.25012915 0.482011192119733 1
0.06 0.5 0.001 1180712.84666619 0.488992700043324 1
0.06 0.5 0.001 1219473.43669674 0.475052461174856 1
0.06 0.5 0.001 1259506.46425836 0.486065296463409 1
0.06 0.5 0.001 1300853.70109057 0.496170387192602 1
0.06 0.5 0.001 1343558.29022083 0.486803013231719 1
0.06 0.5 0.001 1387664.79098131 0.494467290140136 1
